dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t4,kB6000,p49152,ms210,ms450,ms150,t3,mB10,p28672,ms130,ms100,ms95,70303da49038df155c2d2ef55cc12f27fb88a2cd6b45e7927bfcf23ed5e743ff
t6,kB8,p49152,ms130,ms300,ms70,t8,kB3000,p32768,ms40,ms110,ms75,912d02280adefba255a113f14f0e33d44ba2efe28576c63b7032976191369981
t32,kB1000,p64,ms240,ms180,ms100,t6,kB75,p1024,ms190,ms40,ms50,726e57d7e3808d65abbee1646fe1273b8eae1d884af038adf23bbc363da168c5
t8,kB8,p32768,ms50,ms70,ms55,t32,mB25,p16384,ms10,ms1000,ms160,f38b9d5b108068faf0c14dffe90e7f055ed5c8489f91e86398d07ac8cd6839f1
t3,kB1000,p24576,ms110,ms450,ms15,t32,mB40,p256,ms200,ms120,ms160,95072c6827da463c2a3b291ac4e58c9dd55b196fe098b552ab643143476e6837
t4,mB11,p1024,ms110,ms450,ms55,t4,kB10,p32,ms40,ms500,ms10,3a7bf0eb829d32d6c994556d30f8e6a35a50f9393cbedaa8ae9a3638563e5b33
t16,kB4000,p32768,ms80,ms450,ms90,t3,mB8,p32,ms50,ms50,ms140,79322da0eca7310dc06c01284ed55c57ccff088e8a48c12ab24eadcf9389e07b
t3,mB30,p57344,ms70,ms70,ms160,t16,kB15,p28672,ms70,ms100,ms5,11b10262dc3383941510f569178d873c88e18f879ab064b30f4803c84a8e98d0
t8,mB16,p4096,ms800,ms90,ms70,t2,kB375,p16,ms160,ms140,ms20,4aa9d68b43a9f6207028c1a73a8d76a925ffe18f61fdf04b6d9ae79b9933ba6d
t6,kB250,p128,ms130,ms800,ms45,t2,mB14,p32,ms500,ms190,ms190,33127df11cb30d751849ca301bcfaa067eff0f57120f7a756cb029a86317ed07
t2,kB4000,p64,ms10,ms500,ms15,t6,kB2,p49152,ms400,ms300,ms50,d8eac82974ba20fdcd734b5d6204dc2215da823a71ecb1e80b56e41fc13118ef
t6,kB2000,p16384,ms200,ms100,ms25,t3,mB25,p256,ms50,ms1200,ms10,58b5bcb89cb5ad3ac04475676f654138015f179e08ea73d931d5e0f547ced975
t3,kB250,p28672,ms160,ms40,ms200,t16,kB10,p24576,ms2000,ms800,ms35,1c38b21e4d9f702b7b62e5caaae342600061638cd26b9c4c8944babdd4287f86
t2,kB750,p32,ms180,ms1000,ms25,t3,mB40,p128,ms250,ms180,ms90,122fd7ce00338eb27be8e622520e861002a13cc955913b58c81b78f1439dbf92
t6,kB250,p32,ms150,ms10,ms5,t6,kB5,p12288,ms170,ms1000,ms30,0a65aca98ff9c6f37180e0870ae054900c6aae1928290d7062628728d73ff969
t2,kB250,p40960,ms60,ms100,ms55,t2,mB11,p256,ms1000,ms60,ms20,d1b930e2f988084acfef13e12db3b4504497b3729dd68bfdf649d2ef5a72b8a3
t2,kB50,p12288,ms240,ms400,ms110,t2,kB5000,p256,ms40,ms400,ms100,276b10f2049c1f8888d0e233f7d956dc989b6f8d8e5817052f05dba56eebeab2
t8,kB6500,p40960,ms50,ms500,ms55,t3,kB250,p8,ms150,ms80,ms160,55c90813b2e5674d33bb6f9132fe9bb57e2221a7cc78553f5b712b9692ba514c
t16,mB11,p1024,ms150,ms170,ms70,t16,kB250,p20480,ms230,ms120,ms190,c61ca38b4ee58c08618bde24aad2302fc41074440391632eba990e720abdcc31
t3,kB500,p16,ms20,ms1600,ms20,t8,mB16,p20480,ms20,ms80,ms90,1817415728b1f457605fef4bf1426d59872a94bb2a31a8b35209de9eaf9f85b1
t2,kB4000,p20480,ms190,ms130,ms200,t3,kB1500,p4096,ms230,ms110,ms35,e153380ef6e94806caf403211d85a401f80a46a36ece496848382692ab9b6bbc
t2,kB1250,p2048,ms1000,ms300,ms110,t8,kB6500,p4096,ms60,ms60,ms140,bdb7e8564adcc45baf7fd9fdf14feef7b91cb12888eb2a844ac6a8b9f0414cf5
t3,kB25,p6144,ms1000,ms2000,ms65,t8,kB6500,p12288,ms120,ms110,ms95,b0ee4e0eb11e2619034f2dfc2ba5eed28f20cc692a89c0f801db352114f3ec94
t32,mB12,p16,ms170,ms130,ms55,t2,mB14,p16384,ms100,ms90,ms90,ad34f5b57fb92514b7ff7f4a8a7d4cb24eeedc9a1c35a0737dce52e9c8355e98
t32,kB7500,p40960,ms130,ms140,ms60,t32,mB30,p16384,ms190,ms60,ms40,5e211973b88318234fbb4191435419151e45e7d4c94b230d69d34fdd7d38f48b
t32,kB4500,p256,ms230,ms150,ms80,t16,mB25,p4096,ms180,ms10,ms75,08cdc0d5e1bb7d9b2ba7850c81b22068a75c450e54b778af7957c21a9bb4b236
t6,mB8,p32,ms500,ms70,ms160,t4,kB7000,p49152,ms50,ms300,ms120,b5b71e2a622b6cd2e589d163c3bd0116f57cf3e5c0eb0bdd83bfd4b16bde5554
t3,kB3000,p57344,ms190,ms1000,ms15,t32,kB250,p28672,ms130,ms130,ms170,183fa67b237a40d42d4a080d35a356b500b7b1d7953b5c6dd4aea60b62ed66d7
t16,mB11,p32,ms60,ms800,ms15,t4,kB250,p57344,ms170,ms350,ms10,2ddf47a82c6bae4238af0998047fa5582715f39b1f6c35587624aaad877dd0a2
t3,kB4000,p1024,ms170,ms120,ms65,t2,kB250,p12288,ms10,ms300,ms190,b0f25c3aba2d9064197acd9d570ce27d2d712c75409d8622a08a64ddfe2c683c
t32,kB375,p8,ms350,ms120,ms65,t3,mB12,p2048,ms110,ms40,ms5,891e6209c0eb0180e69eb3f0c665afea8254dccaa5326186cf5626c585c5605b
t32,mB20,p8,ms500,ms80,ms5,t3,kB100,p64,ms130,ms2400,ms50,020208b1d49b2d1f58781bf8be67569cabc4e25aa4dc988ec6a87970af551245
t32,kB1000,p32768,ms20,ms150,ms70,t4,kB6000,p65536,ms160,ms90,ms160,16be0add1f06b98fd070329154986c42eef7137fa0e27de68db2726ad32c225c
t2,kB3000,p256,ms20,ms170,ms100,t8,kB6000,p12288,ms10,ms130,ms120,eae25d53c8cf652090205c0c743a502b070b3cbc4b1ff11df40ac6c73e01cc92
