dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t4,mB16,p49152,ms200,ms300,ms140,t16,mB30,p40960,ms300,ms300,ms140,48a26f47124f3c8bd8506c9174b4983b4346d33bc796573f1418e19759d68c27
t8,kB500,p49152,ms50,ms500,ms80,t2,mB30,p49152,ms1000,ms800,ms60,7e65062af4bd5b01a988cb0524d0e8d157fa1161e419fee31d4a43b7dfd99508
t3,kB500,p512,ms350,ms80,ms160,t6,kB500,p512,ms150,ms150,ms5,bdadd3b9ed539c291dbed6fda37a8471a51ee90f873a5adc250912dabc69eed0
t16,mB20,p16384,ms50,ms300,ms160,t8,mB40,p32,ms4000,ms500,ms5,cf61cfd99bceae464c2273a39eea78bfbf2ad7d74e606f590822e2e9ad5c3191
t4,mB40,p16384,ms50,ms300,ms80,t8,mB20,p65536,ms4000,ms500,ms40,ee0a3f481e861f4837f2390aa4fb89a145ae2dc9e8381b15958d9d06e048ef32
t4,kB6000,p57344,ms100,ms500,ms60,t2,kB8,p32,ms4000,ms40,ms140,e54c667499d6342cfb72801920b448bf3ad1ea0a0230a635355a49392f3c542e
t32,kB6000,p512,ms4000,ms800,ms60,t16,kB500,p40960,ms800,ms300,ms140,f0e5800b72ccba23b7663ac45fbe6bf0438c8f8228108a97e00a35b7c0b76646
t8,mB8,p49152,ms2000,ms20,ms10,t2,kB100,p4096,ms150,ms150,ms160,010507d1ffabbf1ab44d0d9914973f07a96316cd295b1a73ac2b4b09a7527e08
t3,mB25,p57344,ms150,ms1200,ms40,t2,kB100,p4096,ms2000,ms150,ms200,0a6baaaee9918ae97a18729b99c50a29e349f2139afbdbf7b6cb076902fa17cf
t6,kB1000,p4096,ms500,ms60,ms120,t16,kB8,p40960,ms1000,ms2000,ms5,2c6312d99756a862999cadaa265151cdf19ee499c36e7073bfea7290119c050a
t6,mB25,p16384,ms250,ms100,ms120,t4,kB8,p512,ms300,ms2000,ms160,24e106ebfc72de882b6bd14dfe2dca7135e0c7431f087e5e7d41a989dae49c4d
t4,kB1000,p32768,ms150,ms80,ms10,t4,mB40,p128,ms300,ms20,ms10,1aef9e588cd193d4f00269e9ad888567b806a638dbea1a3b87155da3686ee921
t4,kB500,p40960,ms2000,ms40,ms100,t2,kB8,p128,ms50,ms80,ms80,d1517a97ad7ebe20b96f7f082980f53694b2b7f7dbb2dc7f16e25501d36eb80c
t32,mB30,p57344,ms2000,ms2000,ms100,t2,kB25,p57344,ms50,ms800,ms40,cc338b0fe5ef6cae5e82235c4a70b69a53bb554866cd5e6cad088949d2c3d59d
t6,kB6000,p49152,ms4000,ms500,ms200,t2,kB25,p32768,ms300,ms300,ms60,91a617983b78b10d8bf0d656281e153b9e1d563a5637bf1ea87467be1c03ff69
t6,mB25,p16,ms1000,ms800,ms160,t3,mB16,p40960,ms400,ms2400,ms170,45667c14178630cd3a6e7a72bd476521652836a9916d7fa6dc4b0371741bd0c4
t16,kB500,p40960,ms1000,ms800,ms100,t3,mB40,p40960,ms800,ms1200,ms20,93d869326ae87ebc49f30c9207f6f38b368171e0dbe395e593c99a22043dbf63
t32,kB25,p16,ms100,ms200,ms5,t8,mB16,p65536,ms800,ms20,ms60,7f6300d929385e14bd8eb117fee9f946c2113c2ca4fa57ca468dff71ac82131a
t32,mB40,p16384,ms500,ms20,ms140,t4,kB500,p32,ms100,ms500,ms60,6e2871e1fa514fd1b4f1eb95aa2455d28937539ba66b03acefdfd6a76be7483f
t6,kB8,p512,ms150,ms60,ms60,t8,kB8,p40960,ms500,ms1200,ms160,11f2923d1e3f0a5771ad1f5835c5338686f0cfc9fef08ca10d4abe6d81d9fc62
t32,mB25,p32,ms4000,ms60,ms5,t32,kB500,p40960,ms1000,ms150,ms5,848c686d6d455d73a6e8cb4bf66c245fb395275a8754eea705021aca88e98d88
t32,kB6000,p65536,ms150,ms100,ms120,t6,mB16,p65536,ms200,ms200,ms170,fd38ff34848d6cc22e2663503bc29bf54ca62eb664d994715d9d54dcc4bea11d
t16,mB16,p4096,ms150,ms2000,ms120,t2,mB25,p4096,ms4000,ms2400,ms40,c2e589ba6f2bfa726b7e579dd2dac31f47353d153f811e677c8f28d2a721158f
t2,kB25,p32768,ms150,ms150,ms120,t16,mB40,p49152,ms800,ms150,ms60,a2e49b373d67d21427e190181cd8b8eb570ed0c7dcea8f17d03d0e2712a7f708
t3,kB100,p40960,ms1000,ms20,ms170,t32,mB8,p57344,ms50,ms60,ms80,0b5f676566a978079e89d08d3d4d61267303f540709c81ec975966ee9ba70961
t3,kB1000,p57344,ms200,ms2400,ms180,t4,kB25,p4096,ms500,ms20,ms140,b728e1d5cdc52eaf9d8df5136b78123921739c9f3871f2f21ffa373a3a1d9c76
t16,mB25,p16384,ms250,ms500,ms140,t4,mB40,p32768,ms100,ms2400,ms80,8a1269dfe9f6b91654dd8be747a9e336d85589e0643fbc7e968566c0f90a9e1c
t6,kB500,p40960,ms800,ms150,ms80,t6,mB25,p4096,ms100,ms150,ms5,4031e63208fd94e762a325e1bf5f9c281df0a7651ecbc19257e4d50b7d66f456
t16,kB6000,p40960,ms800,ms2400,ms120,t16,kB500,p512,ms100,ms2000,ms170,40ce469d6a58cdbd6f6b84774028c281888cc11cccb35462a33d0f0a1e7001ca
t16,kB500,p40960,ms800,ms150,ms60,t16,mB16,p512,ms100,ms80,ms170,c6a3d1a79b4771fdd3bc35b396d424103a820b1f414dd2d08a737d4659b8d8ce
t4,mB25,p65536,ms350,ms40,ms60,t16,kB8,p57344,ms350,ms60,ms180,e39965bc43dad40487f706e837d58e79123cd911e1ed3ecf1366dbf475b860a2
t3,kB6000,p40960,ms250,ms40,ms60,t32,kB1000,p32768,ms100,ms60,ms170,cecadd1210c2254ffe0fd42926836bdb771f2229a3e5b4a23c99ccac1d92f81f
t8,kB500,p65536,ms400,ms800,ms60,t32,kB1000,p65536,ms200,ms100,ms40,7b43e1a8f4242133532cfec6ea450b3d25164f74e22744fe6298beb01684cd57
t3,kB500,p57344,ms200,ms2000,ms100,t6,mB16,p512,ms100,ms100,ms200,fc65b655d14bf5098bb96cb17f7d6f9f151082692202568bbb906ab576a4f6ca
t3,kB6000,p512,ms200,ms500,ms140,t32,kB1000,p512,ms800,ms60,ms160,682ea73ae2eb65f9042e21ffce0c5eea60024b183ce54a24b3876fbcf1d588bf
t8,kB1000,p128,ms300,ms2400,ms5,t16,mB20,p16384,ms4000,ms2000,ms80,bd572091c6f6386ab3c46e2ce1b3ec3e05af150755c71064683e279f2178f377
t2,kB25,p128,ms250,ms40,ms20,t16,kB25,p32,ms350,ms2000,ms120,666f1f5c4432dfac6799beb9ddbd68a970a3c628125f3319d9fba4dbbd45c0a6
t32,kB500,p16384,ms1000,ms40,ms40,t16,kB6000,p128,ms300,ms80,ms120,b57857c38794fd80d14233d776a56b02252840332edec2fd748d815a3fa4305b
t8,kB500,p512,ms1000,ms2000,ms140,t16,mB30,p512,ms200,ms200,ms140,01d8749c51744ab23007c54df515230242023c8a2c78607f3aa9f626c1c08cc8
t8,kB500,p512,ms4000,ms2000,ms40,t3,kB6000,p49152,ms300,ms200,ms180,1bc61f4de29b5c1c7ac455553be7102edec9bee65cd626e66c1b47d7e19ec043
