configID,qtyID,transition,slapsed_time
0,1,['qty-1'],[300]
0,2,['qty-2'],[10]
0,13,['config_qty-3'],[10]
062cde433c5cf376e6112f4cbce18052de3aa561099b9566ce9f7c15fb008aee,2,"['qty-4', 'qty-4', 'qty-4', 'qty-4', 'qty-5', 'qty-5', 'qty-5']","[10, 20, 50, 40, 90, 250, 40]"
062cde433c5cf376e6112f4cbce18052de3aa561099b9566ce9f7c15fb008aee,1,"['qty-3', 'qty-3', 'qty-3', 'qty-3']","[210, 10, 10, 10]"
062cde433c5cf376e6112f4cbce18052de3aa561099b9566ce9f7c15fb008aee,13,"['qty-3', 'qty-3', 'config_qty-6']","[200, 10, 10]"
c78b3b2b8b24a2042dcb9ccfc74a5322a7e322363636d32ba130a825bbe6a99d,0,['qty-7'],[10]
c78b3b2b8b24a2042dcb9ccfc74a5322a7e322363636d32ba130a825bbe6a99d,2,"['qty-8', 'config_qty-9']","[80, 50]"
c78b3b2b8b24a2042dcb9ccfc74a5322a7e322363636d32ba130a825bbe6a99d,1,['qty-7'],[820]
0be1ac473410a1f604bd485f6fa0186086b539ab5fa30fe8d7215238e7ed8c1e,2,"['qty-10', 'qty-11', 'qty-11', 'qty-11', 'qty-11', 'qty-11', 'qty-11', 'config_qty-12']","[10, 40, 90, 30, 60, 20, 10, 10]"
0be1ac473410a1f604bd485f6fa0186086b539ab5fa30fe8d7215238e7ed8c1e,0,['qty-9'],[20]
0be1ac473410a1f604bd485f6fa0186086b539ab5fa30fe8d7215238e7ed8c1e,1,"['qty-9', 'qty-9', 'qty-9', 'qty-9', 'qty-9', 'qty-9']","[290, 10, 280, 10, 10, 70]"
f7acfa2dc8f9ac7b2c8c0dd99325e740184e2c92a832a88dad86c2f1af711036,1,"['qty-13', 'qty-13', 'qty-13', 'qty-13', 'qty-13']","[210, 10, 340, 10, 290]"
f7acfa2dc8f9ac7b2c8c0dd99325e740184e2c92a832a88dad86c2f1af711036,2,"['qty-12', 'qty-12', 'qty-12', 'qty-12', 'config_qty-14']","[40, 10, 20, 20, 10]"
b3adce2acae730c800c212f2edbc67d2b763309f39014ff9e6275b4d71b10bb6,1,"['qty-15', 'qty-15']","[50, 300]"
b3adce2acae730c800c212f2edbc67d2b763309f39014ff9e6275b4d71b10bb6,2,"['qty-16', 'qty-14', 'qty-17', 'qty-17']","[10, 70, 150, 90]"
b3adce2acae730c800c212f2edbc67d2b763309f39014ff9e6275b4d71b10bb6,0,['qty-15'],[10]
b3adce2acae730c800c212f2edbc67d2b763309f39014ff9e6275b4d71b10bb6,13,"['qty-15', 'config_qty-18']","[270, 10]"
6262cc8de62d45460f18f3da928f0e43167f6294d9d7f07f7db3621a5798e229,12,['qty-19'],[320]
6262cc8de62d45460f18f3da928f0e43167f6294d9d7f07f7db3621a5798e229,13,"['qty-20', 'config_qty-22']","[10, 10]"
6262cc8de62d45460f18f3da928f0e43167f6294d9d7f07f7db3621a5798e229,2,['qty-21'],[420]
6262cc8de62d45460f18f3da928f0e43167f6294d9d7f07f7db3621a5798e229,1,['qty-19'],[200]
ad3a24770b400f7bdd7fa782333d226a7109b5d2358b71458ca480936283ffd7,1,['config_qty-23'],[960]
5de044b624cfc77dd73fe13ec62f69791fd1818a050dfdeebe1eaa4d28ea6a58,1,['config_qty-24'],[960]
caa6a812086eb6c0b265216d1a2334a90a027323a84e48c04c95b534b616a87c,1,"['qty-25', 'qty-25', 'qty-26', 'qty-26', 'qty-26']","[650, 10, 10, 10, 10]"
caa6a812086eb6c0b265216d1a2334a90a027323a84e48c04c95b534b616a87c,12,"['qty-24', 'qty-24']","[10, 40]"
caa6a812086eb6c0b265216d1a2334a90a027323a84e48c04c95b534b616a87c,2,"['qty-24', 'qty-27', 'qty-24', 'qty-27']","[140, 30, 10, 20]"
caa6a812086eb6c0b265216d1a2334a90a027323a84e48c04c95b534b616a87c,13,"['qty-26', 'config_qty-28']","[10, 10]"
efff26e86eff2e919c2f89172e23a7e40c25c54535e73f57db362125c579a203,13,['qty-29'],[10]
efff26e86eff2e919c2f89172e23a7e40c25c54535e73f57db362125c579a203,2,"['qty-30', 'qty-31']","[490, 90]"
efff26e86eff2e919c2f89172e23a7e40c25c54535e73f57db362125c579a203,0,['qty-29'],[10]
efff26e86eff2e919c2f89172e23a7e40c25c54535e73f57db362125c579a203,1,['config_qty-32'],[360]
1f8ddac2c8ce7a083a306cb5ab955603e05ed833404c70724faeaf390f515b66,1,['qty-33'],[950]
1f8ddac2c8ce7a083a306cb5ab955603e05ed833404c70724faeaf390f515b66,2,['config_qty-34'],[10]
36e148815eedcf63ea123bf8d856b1189cf35780e7231fdce28a6e84a3740598,1,['config_qty-35'],[960]
ce8c0c4b4ebd880d14105593432e5bd962ee7aa72090580aba50b6242ec71519,1,"['qty-36', 'qty-37']","[250, 470]"
ce8c0c4b4ebd880d14105593432e5bd962ee7aa72090580aba50b6242ec71519,0,['qty-35'],[10]
ce8c0c4b4ebd880d14105593432e5bd962ee7aa72090580aba50b6242ec71519,12,['config_qty-38'],[230]
efdab9578133a425905bd94ea30a355260084e5aef3af32932ea0974b0c48010,12,['qty-39'],[70]
efdab9578133a425905bd94ea30a355260084e5aef3af32932ea0974b0c48010,1,"['qty-40', 'qty-40', 'qty-40']","[740, 80, 10]"
efdab9578133a425905bd94ea30a355260084e5aef3af32932ea0974b0c48010,2,"['qty-39', 'qty-39', 'qty-41']","[10, 10, 30]"
efdab9578133a425905bd94ea30a355260084e5aef3af32932ea0974b0c48010,13,['config_qty-42'],[10]
9a393ddffc442686e0a7d19a973c27a17591aeb1c05d2ef35a73997bf1a69418,2,"['qty-43', 'qty-43']","[390, 190]"
9a393ddffc442686e0a7d19a973c27a17591aeb1c05d2ef35a73997bf1a69418,1,"['qty-42', 'qty-44']","[220, 150]"
9a393ddffc442686e0a7d19a973c27a17591aeb1c05d2ef35a73997bf1a69418,-30,['config_qty-45'],[10]
bd36a57650e60d331fef9e67adca25ae89959955c7bb2d7cea7eccae85463332,1,"['qty-46', 'qty-46', 'qty-46']","[100, 220, 210]"
bd36a57650e60d331fef9e67adca25ae89959955c7bb2d7cea7eccae85463332,2,"['qty-45', 'qty-45', 'config_qty-47']","[160, 200, 70]"
40d88555cf5442d943423dc59293cfdac0e54c7ca7ef3bef6f62af3c2a7e61f8,2,"['qty-48', 'qty-48']","[130, 220]"
40d88555cf5442d943423dc59293cfdac0e54c7ca7ef3bef6f62af3c2a7e61f8,1,"['qty-47', 'qty-49']","[180, 420]"
40d88555cf5442d943423dc59293cfdac0e54c7ca7ef3bef6f62af3c2a7e61f8,12,['config_qty-50'],[10]
72d58ef0d9d105816d107fb5ff5dea802660865d428bc3cda171bc22074f2cb9,1,"['qty-51', 'qty-51']","[410, 30]"
72d58ef0d9d105816d107fb5ff5dea802660865d428bc3cda171bc22074f2cb9,2,"['qty-50', 'config_qty-52']","[330, 190]"
8bdb551c7fdf5dd9960f7c6d02528c36d85ac75e73b09709b71002f1819e7501,2,"['qty-53', 'qty-53', 'config_qty-54']","[270, 330, 180]"
8bdb551c7fdf5dd9960f7c6d02528c36d85ac75e73b09709b71002f1819e7501,1,"['qty-52', 'qty-52']","[90, 90]"
fb2bc0d66a600d1c8961918578e8abc8b036d455127c745b88c9f55f8b987571,2,"['qty-55', 'qty-55', 'config_qty-56']","[150, 370, 370]"
fb2bc0d66a600d1c8961918578e8abc8b036d455127c745b88c9f55f8b987571,1,"['qty-54', 'qty-54']","[50, 10]"
b54772d85cf6b89a0d8853a3f06c70ea16450b0b32e486960284355b242ca7d0,2,['qty-57'],[820]
b54772d85cf6b89a0d8853a3f06c70ea16450b0b32e486960284355b242ca7d0,13,['config_qty-58'],[140]
595a5a87d5b8dcc1d81903b1983721b7e2303e0e981b34fc9c568c51dfa46199,13,['qty-59'],[370]
595a5a87d5b8dcc1d81903b1983721b7e2303e0e981b34fc9c568c51dfa46199,1,['qty-60'],[580]
595a5a87d5b8dcc1d81903b1983721b7e2303e0e981b34fc9c568c51dfa46199,0,['config_qty-61'],[10]
