dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t6,mB20,p8,ms30,ms250,ms5,t32,mB12,p2048,ms90,ms1200,ms160,c8127c124df9793789270891b60bae6b8d2b3e5009b54abff55ba701e1d35708
t3,kB500,p8192,ms2000,ms60,ms160,t2,kB4500,p32768,ms800,ms20,ms95,7943ef10834e3424bad01f3d7c68279e4e2ab036d19ad554cb117203b97bfbeb
t3,mB10,p24576,ms20,ms40,ms40,t4,kB5500,p16384,ms60,ms250,ms150,5644026def7f40c77d06523bd62f6021977217d774ec0398b6cbb1381cfacd34
t3,kB125,p128,ms20,ms110,ms65,t32,mB16,p49152,ms30,ms2400,ms5,41cbef65264fb0cedcc0ec367a280f3f7ddf3d481b9c5a349de5123570ae13e1
t8,kB50,p1024,ms100,ms110,ms35,t4,kB5500,p49152,ms110,ms2400,ms30,5b90eb72cfc5df73e29e29f1d919ccf5fa8fa13f16910c2f28a2e44ca0a1e4dc
t32,mB25,p512,ms160,ms1000,ms50,t4,kB750,p128,ms180,ms20,ms140,d7f2502d3f064bb3841fe6ada0dd89f02d34f9c0afb92cd1830a0f744542243f
t8,kB6000,p4096,ms300,ms90,ms190,t3,kB2000,p8192,ms350,ms170,ms70,6b623d086cd2d64123181d078315bbb721965a567071d07adc17e3324c420cb9
t6,mB10,p4096,ms450,ms450,ms10,t4,kB7000,p128,ms70,ms110,ms110,f006f17a5b181849663f86ebab77154ad2db726d3575f37f286b4be4db5ce3b3
t6,kB5,p40960,ms160,ms110,ms190,t8,kB7000,p32,ms130,ms60,ms45,a6843f6ce7ccb144f0f5bc0ee39cd19a7a20be981d9d86758056d983d87cded4
t6,kB750,p512,ms110,ms20,ms150,t4,mB40,p128,ms90,ms1200,ms75,9ccc59e0a9718ea8bceedf6cffcfa66f8be80dbed6a24ec7a7d8c27855f66b11
t6,mB9,p20480,ms10,ms190,ms35,t3,mB30,p512,ms100,ms190,ms200,743cb93807828c7f430d27e45fcf8353f824f804c0763a95ee7367515240431a
t6,mB10,p12288,ms200,ms160,ms120,t3,kB6000,p4096,ms110,ms300,ms50,7d7a44dd22f4f81bb79d226a31fbd19a91e14c83d2aea6b257ab3d0353aebb52
t32,kB8,p40960,ms150,ms190,ms60,t4,kB375,p4096,ms4000,ms140,ms150,668d55bdfc567a8f13d3aefc3b7a46ba8ae9d0397a9b3776310feb5708183905
t6,kB7000,p32768,ms240,ms350,ms100,t2,mB40,p49152,ms230,ms20,ms25,6410469c2db43d04e4322cd108a1beb21f276b6b02f10a82194d1e2b33f111fd
t2,kB1250,p64,ms170,ms190,ms110,t4,kB1000,p20480,ms450,ms70,ms80,24742f161909fbd7ea7415031aca8e2418a350028c886852fb2d158b68fe8acf
t2,mB16,p32768,ms300,ms20,ms140,t32,mB18,p64,ms210,ms180,ms200,254943cf9f232bd0c35964b3533f4be724e8ddb316775cdcfe1dd6ed83ce3b2d
t4,kB7000,p16384,ms110,ms2000,ms160,t8,mB25,p128,ms140,ms30,ms190,5e51ec782e7f485f82f22fa17d8fa1ec37243906ee3a52dc677f37b7e6c7e16f
t2,kB500,p12288,ms2000,ms170,ms20,t2,kB375,p6144,ms450,ms1200,ms25,8fd6e69ea5dca28a944ed8d7df5dfb869c36c6015b9dcbc2dd3b8074fba6a48f
t32,kB500,p32768,ms500,ms140,ms45,t6,mB13,p20480,ms70,ms1200,ms15,56e9e1d1e12cba7b565a7dd1ec8f8847c775a0958b66b5046874742ae0ab7247
t32,kB3000,p1024,ms500,ms350,ms45,t8,kB750,p2048,ms140,ms30,ms150,f6379af9fdc973dc983940e216df99da87fa8db43f197e58375f52dfa5995286
t16,kB50,p1024,ms500,ms130,ms200,t8,mB16,p20480,ms160,ms40,ms75,820675a4d28d9d98a5b416f66dbe9decfb90eabd6ff17805e76b8e9db327e18e
t2,kB1500,p32768,ms90,ms150,ms190,t2,kB6000,p40960,ms120,ms40,ms130,4571844029c2698096d6be2345f0595a3464755a353e249d5dd0446e14e807c5
t16,mB25,p1024,ms350,ms500,ms90,t16,kB6500,p32,ms130,ms250,ms100,14a76571e381dc4f7b7d2241de14cb81b60487ee662abd6206a5a1c6cb8df818
t3,mB20,p512,ms190,ms40,ms120,t2,kB7500,p32,ms500,ms300,ms190,190ca97eea0ee514332a3d8273bd9d227355f15900ba3e0ed70719d3e79c78b6
t2,kB7500,p128,ms180,ms2400,ms120,t4,kB5000,p32768,ms70,ms350,ms25,339c769e359872e038fdeca2cd49cee3f0a57af6dc3f633ec1a66bb29130f779
t16,kB75,p16384,ms300,ms60,ms45,t4,kB5000,p65536,ms240,ms150,ms60,92e7ee6438b8e8d599f506ce6444cc4a250ebcad4b38b8c14da94a3703cfbb72
t16,kB3000,p16384,ms40,ms90,ms65,t4,kB3000,p32,ms140,ms2000,ms100,0aa92b19919ff0c178e30b7a7a14b23b24c878cd8e9264637289d09b36a9cc13
t6,kB2000,p16384,ms50,ms180,ms55,t4,kB5500,p65536,ms220,ms400,ms35,333b3d50c397812d0ad7a7eeaf0f4b949b2eb0285fb77f68661a349507f387a0
t16,kB1500,p16384,ms170,ms10,ms120,t6,mB17,p6144,ms400,ms1600,ms90,72bbad79a79e34bb1422e817af27e17b56056ece43048825db7f7e7ab23fbe9c
t8,kB100,p20480,ms20,ms350,ms30,t4,kB100,p20480,ms4000,ms110,ms90,e93d2ae2829548a1eb72d0fe0d85b786afbb8c24a3324c727008f1bb72d7c4de
t16,kB4000,p20480,ms250,ms350,ms75,t8,kB2000,p49152,ms350,ms90,ms110,b83aa91d6d184ca6de78c01674a8f97eb3793bf37775fa76a410852beb3d0cf5
t8,mB20,p32,ms180,ms2000,ms200,t2,kB50,p6144,ms70,ms180,ms15,e7d44e0d39ea27c5b3c6e45d997878dbfded8b0b59e1bf2805f7e85fe54286ea
t2,mB14,p128,ms220,ms1000,ms120,t2,kB7000,p32,ms120,ms10,ms200,aac93f6600380703912ccba7d54f13d8a486ac110d53ead070c5a1dadfda7f86
t8,mB15,p512,ms230,ms1600,ms20,t3,kB4500,p2048,ms20,ms110,ms100,0dd44b0b1e3514cf7caeb335f6cd85f719bb11efce9cc2ebac101f1ddef6a464
t8,kB6000,p2048,ms140,ms2000,ms30,t3,mB14,p256,ms70,ms170,ms95,0fdad8747dc909e85a3577a0007e95e131a8d56589818cdb0391086228c1bcbd
t16,mB25,p57344,ms40,ms180,ms100,t16,mB16,p8192,ms800,ms150,ms90,e4acb2f44f1ec4563593467e31907d819aa3efe655370014205df9accd762bc4
t32,kB500,p32768,ms230,ms180,ms50,t16,mB10,p16384,ms100,ms250,ms40,5d75205810f7ca11996c1c82ea6fc1181c1dc7f3b2b8486d9780738482e4dd98
