start_time,stop_time,delay,jitter,dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly
2023-06-04T11:48:40Z,2023-06-04T11:48:50Z,5844952.53685504,1465837.96068796,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:48:50Z,2023-06-04T11:49:00Z,5662495.44285714,1384766.17647059,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:49:00Z,2023-06-04T11:49:10Z,5646604.24324324,1401963.51351351,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:49:10Z,2023-06-04T11:49:20Z,5641496.78378378,1396289.72972973,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:49:20Z,2023-06-04T11:49:30Z,5628021.65714286,1386812.85714286,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:49:30Z,2023-06-04T11:49:40Z,5613936.70833333,1389311.11111111,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:49:40Z,2023-06-04T11:49:50Z,5615350.56733746,1379212.87758347,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:49:50Z,2023-06-04T11:50:00Z,5623245.55555556,1386501.38888889,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:50:00Z,2023-06-04T11:50:10Z,5615612.90140845,1384909.85915493,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:50:10Z,2023-06-04T11:50:20Z,5616806.78378378,1384640.54054054,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:50:20Z,2023-06-04T11:50:30Z,5597486.63013699,1372271.23287671,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:50:30Z,2023-06-04T11:50:40Z,5591306.92857143,1380238.57142857,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:50:40Z,2023-06-04T11:50:50Z,5652939.00975976,1255882.22222222,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:50:50Z,2023-06-04T11:51:00Z,5640630.23943662,1328691.42857143,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:51:00Z,2023-06-04T11:51:10Z,5651993.39189189,1290995.94594595,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:51:10Z,2023-06-04T11:51:20Z,5692590.01349206,1216311.76470588,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:51:20Z,2023-06-04T11:51:30Z,5675828.80821918,1225858.90410959,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:51:30Z,2023-06-04T11:51:40Z,5731093.57971014,1152845.58823529,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:51:40Z,2023-06-04T11:51:50Z,5734326.82695375,1116588.73873874,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:51:50Z,2023-06-04T11:52:00Z,5703816.95774648,1167008.57142857,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:52:00Z,2023-06-04T11:52:10Z,5714894.60273973,1128431.94444444,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:52:10Z,2023-06-04T11:52:20Z,5710225.38175676,1112313.67249603,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:52:20Z,2023-06-04T11:52:30Z,5740214.95774648,1117069.56521739,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:52:30Z,2023-06-04T11:52:40Z,5757070.95774648,1028776.05633803,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:52:40Z,2023-06-04T11:52:50Z,5547776.84801587,1492735.97402597,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:52:50Z,2023-06-04T11:53:00Z,5556686.52777778,1462331.94444444,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:53:00Z,2023-06-04T11:53:10Z,5556161.04285714,1442498.55072464,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:53:10Z,2023-06-04T11:53:20Z,5553904.69285714,1413333.57142857,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:53:20Z,2023-06-04T11:53:30Z,5585951.98611111,1404749.29577465,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:53:30Z,2023-06-04T11:53:40Z,5572672.81428571,1389001.42857143,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:53:40Z,2023-06-04T11:53:50Z,5574676.55147059,1396889.29738562,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:53:50Z,2023-06-04T11:54:00Z,5580404.52054795,1398702.77777778,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:54:00Z,2023-06-04T11:54:10Z,5581134.73611111,1384202.85714286,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:54:10Z,2023-06-04T11:54:20Z,5585297.00833333,1410982.51633987,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:54:20Z,2023-06-04T11:54:30Z,5572708,1386304.28571429,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:54:30Z,2023-06-04T11:54:40Z,5569836.1971831,1398962.85714286,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:54:40Z,2023-06-04T11:54:50Z,5623982.45720721,1382317.45495496,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:54:50Z,2023-06-04T11:55:00Z,5574362.95774648,1398901.42857143,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:55:00Z,2023-06-04T11:55:10Z,5569821.02816902,1393466.1971831,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:55:10Z,2023-06-04T11:55:20Z,5574844.32857143,1422372.85714286,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:55:20Z,2023-06-04T11:55:30Z,5560436.04166667,1391421.12676056,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:55:30Z,2023-06-04T11:55:40Z,5560623.19117647,1417261.76470588,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:55:40Z,2023-06-04T11:55:50Z,5577024.75,1398933.92857143,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:55:50Z,2023-06-04T11:56:00Z,5579851.91549296,1420589.70588235,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:56:00Z,2023-06-04T11:56:10Z,5579037.14084507,1402279.71014493,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:56:10Z,2023-06-04T11:56:20Z,5572247.51344538,1375109.41176471,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:56:20Z,2023-06-04T11:56:30Z,5562571.60810811,1436075.67567568,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
2023-06-04T11:56:30Z,2023-06-04T11:56:40Z,5555737.01515152,1405000,t6,kB8,p12288,ms70,ms800,ms25,t16,mB9,p28672,ms90,ms1200,ms85
