start_time,stop_time,delay,jitter,dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,6091070.73333333,1016520,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,6865531.6875,1531306.25,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,6088931.66666667,1012044.28571429,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,6100082.85526316,1032956,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,6118005.36842105,1075665.78947368,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,6115700.66197183,1080356.33802817,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,6103790.30555556,1095857.74647887,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,6105726.51280228,1086179.89766082,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,6088754.17808219,1036456.94444444,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,6066410.5,1018322.22222222,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,6071138.61538462,1012823.92037787,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,6077633.7012987,1018035.06493507,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,6085282.2972973,1021216.43835616,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,6078856.38981289,1020608.41995842,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5967942.71052632,1228192,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5804319.64473684,1532117.10526316,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5808231.74705475,1527631.08974359,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5807127.64935065,1537419.48051948,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5805097.98666667,1530053.33333333,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5800134.98007519,1534860.07722008,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5800279.81578947,1521118.42105263,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5808345.54545455,1526864.93506494,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5794843.34103841,1541114.86486486,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5804659.63157895,1538476,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5797247.92,1508644,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5791535.40789474,1509996.05263158,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5795984.25675676,1503312.16216216,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5792739.30263158,1499269.33333333,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5790036.52857143,1517479.28571429,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5810546.2027027,1536797.22222222,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5841146.97222222,1599759.15492958,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5823265.92176387,1583078.65497076,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5840354.20833333,1578269.01408451,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5831789.71621622,1592186.30136986,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5836080.74358974,1558961.20199146,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5811522.89552239,1550260.60606061,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5810641.84722222,1536437.14285714,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5803286.21078431,1553986.21323529,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5803589.38356164,1537514.08450704,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5819762.57746479,1567063.38028169,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5794075.40277778,1507938.88888889,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5783875.30666667,1504054.05405405,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5780638.86440678,1507184.74576271,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5782501.27631579,1510065.22048364,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5774682.05333333,1504638.66666667,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5797183.75675676,1526504.10958904,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5810058.29417879,1497917.01316701,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5774112.5,1519402.63157895,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
2023-06-19T11:36:00Z,2023-06-19T12:36:00Z,5797222.34210526,1576663.15789474,t32,kB8,p1024,ms70,ms100,ms10,t32,kB25,p32768,ms30,ms300,ms120
