dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t8,kB4000,p6144,ms250,ms40,ms110,t6,kB750,p57344,ms60,ms90,ms45,64f03859dda1bb366e940a9b0255ab84f688d2308b4ba249e66277875387c78e
t2,kB500,p57344,ms10,ms120,ms85,t32,kB250,p65536,ms240,ms170,ms95,8e1839193d657ef483b45c276479c06924d746982841acee8d420f7705ad6ff9
t8,kB6000,p32,ms150,ms10,ms10,t16,kB1000,p65536,ms500,ms450,ms75,72bfaed094de51c7191c16440aa680abef77577278f393988d68378699964a1b
t8,kB6000,p57344,ms140,ms250,ms45,t4,kB6000,p65536,ms30,ms160,ms90,02ba8f3c0dd42ed74231abc424c0e74cf26260f1dcc8adbf004aaafd29e0fe12
t4,kB10,p65536,ms160,ms190,ms30,t16,kB7000,p4096,ms150,ms130,ms110,e458270e3bb2eabc32fd962b658bafd3ea238c9f3ec996a5184acc630a86f81d
t4,kB4000,p256,ms170,ms190,ms35,t16,mB15,p24576,ms60,ms500,ms30,df61e74a62cdccbe5ad4487cf3e9b52ae9f8c4f6bad27c70d2d72587ea8570f7
t4,kB2000,p20480,ms20,ms180,ms35,t8,mB10,p4096,ms100,ms1000,ms100,4e21ee90c46a216cdd9725c200d0097d7f7b3e414b5cf9bca1679af67f5c8b16
t4,kB15,p32,ms800,ms180,ms35,t8,kB6500,p65536,ms160,ms800,ms35,ca4a587f2b02bab945f5e2a3e318c16f38dfa08bd32500ffac594b9428e26a61
t6,mB25,p28672,ms800,ms300,ms90,t8,kB3000,p49152,ms220,ms110,ms35,dd2c2af8b5c8df4ed06cd19c1659f8186bf259f1b454b5271c2f6c003380f7dc
t6,mB15,p65536,ms60,ms1000,ms30,t2,kB2000,p6144,ms1000,ms50,ms160,f6fd9c45b20c3f539945cd860058d346e9b8f70d19c1641e982d9e2773b75307
t4,kB15,p65536,ms20,ms60,ms55,t2,kB1250,p32,ms100,ms140,ms45,c8c00fdafb9b3fff3965476104455bdd5e718de24e90b65a0d3f9bb95f213f02
t32,kB4000,p256,ms180,ms800,ms60,t32,mB17,p49152,ms240,ms50,ms50,46dbcdf895e9bd7ddd85b7a57914ee303b20b90b826e30ecbd8148d9cadd9b24
t32,mB8,p32,ms4000,ms1200,ms30,t32,mB25,p24576,ms130,ms800,ms60,13a31319b5e057e9d4f9ef1e7eb29b403fddfd4b2119744de3528c24bfbcfedd
t16,kB100,p16,ms250,ms60,ms190,t32,kB7000,p20480,ms350,ms180,ms5,6b1ff1f1f0ad7cd362726f0b7a6cc1618a35c24149a866a1576a8c6d9cd5a5a6
