configID,qtyID,transition,slapsed_time
f9a584b9ccfcba5b07a1ef3a4d003b9e08c90b231fff40fec41157d03e2ae868,2,"['qty-1', 'qty-1', 'config_qty-986']","[110, 10, 0]"
f9a584b9ccfcba5b07a1ef3a4d003b9e08c90b231fff40fec41157d03e2ae868,13,"['qty-2', 'qty-0', 'config_qty-3']","[60, 260, 10]"
f9a584b9ccfcba5b07a1ef3a4d003b9e08c90b231fff40fec41157d03e2ae868,12,['qty-1'],[460]
5a3cdd1ef8b78a61178ec8cc5e3e69ca4d46f9d85d28f62e7bd525910a2bb445,2,"['qty-4', 'qty-4']","[590, 10]"
5a3cdd1ef8b78a61178ec8cc5e3e69ca4d46f9d85d28f62e7bd525910a2bb445,1,"['qty-3', 'qty-5']","[320, 30]"
5a3cdd1ef8b78a61178ec8cc5e3e69ca4d46f9d85d28f62e7bd525910a2bb445,13,['config_qty-6'],[10]
7ceafc945f729b0c401489af6f40551f17b1ed0829d4a9f00a4851476892cc84,2,"['qty-7', 'config_qty-8']","[10, 10]"
7ceafc945f729b0c401489af6f40551f17b1ed0829d4a9f00a4851476892cc84,1,['qty-6'],[940]
25a29853f22ceaafd2daedd848689a7c8dd52af07f518537c37fe2d887def8d7,1,['config_qty-9'],[960]
6f59214c62dcbf691d6807c77a27e668b73fdfe2e782a5e6f951462e533ed6cd,1,"['qty-10', 'qty-11', 'qty-11', 'qty-11']","[130, 60, 10, 330]"
6f59214c62dcbf691d6807c77a27e668b73fdfe2e782a5e6f951462e533ed6cd,0,['qty-9'],[10]
6f59214c62dcbf691d6807c77a27e668b73fdfe2e782a5e6f951462e533ed6cd,2,"['qty-9', 'qty-9', 'config_qty-12']","[20, 40, 360]"
2f48562608840bfdc6ab848eaa337b4f59693b12541a3f2c961af35657eaeec7,13,['qty-13'],[10]
2f48562608840bfdc6ab848eaa337b4f59693b12541a3f2c961af35657eaeec7,2,"['qty-14', 'qty-14']","[490, 180]"
2f48562608840bfdc6ab848eaa337b4f59693b12541a3f2c961af35657eaeec7,1,"['qty-13', 'qty-15']","[250, 20]"
2f48562608840bfdc6ab848eaa337b4f59693b12541a3f2c961af35657eaeec7,0,['config_qty-16'],[10]
4fadda90afb26d32734ca46d39b15470b182a1f4fc992b3699a4d5f8bb729767,1,"['qty-17', 'qty-17', 'qty-18']","[180, 180, 130]"
4fadda90afb26d32734ca46d39b15470b182a1f4fc992b3699a4d5f8bb729767,2,"['qty-16', 'qty-16']","[220, 240]"
4fadda90afb26d32734ca46d39b15470b182a1f4fc992b3699a4d5f8bb729767,13,['config_qty-19'],[10]
25e6ab791438d371879fc94a6f05e051cac8544c34150167955b1fccdd8e3e31,2,"['qty-20', 'qty-20', 'qty-20', 'qty-21']","[10, 250, 300, 150]"
25e6ab791438d371879fc94a6f05e051cac8544c34150167955b1fccdd8e3e31,1,"['qty-19', 'qty-19', 'qty-19']","[10, 120, 110]"
25e6ab791438d371879fc94a6f05e051cac8544c34150167955b1fccdd8e3e31,13,['config_qty-22'],[10]
86656c6322bbef5f1283ac6de79624475c1a1329a70bbb10f02a9ea2e2419b26,2,"['qty-23', 'qty-24']","[140, 40]"
86656c6322bbef5f1283ac6de79624475c1a1329a70bbb10f02a9ea2e2419b26,1,['qty-22'],[90]
86656c6322bbef5f1283ac6de79624475c1a1329a70bbb10f02a9ea2e2419b26,13,"['qty-25', 'config_qty-26']","[290, 10]"
86656c6322bbef5f1283ac6de79624475c1a1329a70bbb10f02a9ea2e2419b26,12,['qty-24'],[390]
694d3ee2508ce371f489dbf29fee61ce9e44d58a6115b43940f260579211c4f1,12,['qty-27'],[20]
694d3ee2508ce371f489dbf29fee61ce9e44d58a6115b43940f260579211c4f1,2,['qty-28'],[930]
694d3ee2508ce371f489dbf29fee61ce9e44d58a6115b43940f260579211c4f1,13,['config_qty-29'],[10]
6d36372fa05865f21fc8d78d12149e2a5f147412688f7255db57bb1cee8eeb5a,2,['config_qty-30'],[960]
6fb150e5de7b64b200e2320ab70b76d786f06e3055b69bff7b4b83960e8dd7c5,2,['qty-31'],[960]
6fb150e5de7b64b200e2320ab70b76d786f06e3055b69bff7b4b83960e8dd7c5,-30,['config_qty-32'],[10]
a63c284b0f7ce95f4fb046b7ee66b3070e5a582c6d118b90dd9c0c8cc50e9544,2,['qty-33'],[310]
a63c284b0f7ce95f4fb046b7ee66b3070e5a582c6d118b90dd9c0c8cc50e9544,13,['qty-34'],[180]
a63c284b0f7ce95f4fb046b7ee66b3070e5a582c6d118b90dd9c0c8cc50e9544,1,['config_qty-35'],[460]
6c7605587abe421dba50fb6ec25f2294ae468a51d520de70fa15f2d106827972,2,"['qty-36', 'config_qty-38']","[10, 590]"
6c7605587abe421dba50fb6ec25f2294ae468a51d520de70fa15f2d106827972,0,['qty-37'],[10]
6c7605587abe421dba50fb6ec25f2294ae468a51d520de70fa15f2d106827972,1,['qty-35'],[350]
9e4f4d00d2236066f8c0e95a5ac051d67ab840fc227fbc70a9002062b55eec90,2,['qty-39'],[950]
9e4f4d00d2236066f8c0e95a5ac051d67ab840fc227fbc70a9002062b55eec90,13,['config_qty-40'],[10]
0c425c8cca6a48a54af36d2db1bad7637bca4f6c3a496f68b8e49e40750bd44b,2,"['qty-41', 'qty-42']","[60, 880]"
0c425c8cca6a48a54af36d2db1bad7637bca4f6c3a496f68b8e49e40750bd44b,-8,['qty-40'],[10]
0c425c8cca6a48a54af36d2db1bad7637bca4f6c3a496f68b8e49e40750bd44b,13,['config_qty-43'],[10]
3231dfb1b73fa862fca5f31aef89a0d120a2ab35b3ff3d6314e5e105ce8e38b5,2,['qty-44'],[380]
3231dfb1b73fa862fca5f31aef89a0d120a2ab35b3ff3d6314e5e105ce8e38b5,13,"['qty-45', 'config_qty-46']","[10, 560]"
3231dfb1b73fa862fca5f31aef89a0d120a2ab35b3ff3d6314e5e105ce8e38b5,12,['qty-44'],[10]
406badec8af709775644203b2f797ad013008a728233721049fdde69a7473862,13,"['qty-47', 'qty-47']","[300, 10]"
406badec8af709775644203b2f797ad013008a728233721049fdde69a7473862,1,"['qty-48', 'config_qty-49']","[410, 10]"
406badec8af709775644203b2f797ad013008a728233721049fdde69a7473862,2,['qty-46'],[240]
ba8eccd5695608984ec01da92c0eb66c9020cf6886d0fa071a7e1a630b044c56,1,['qty-50'],[150]
ba8eccd5695608984ec01da92c0eb66c9020cf6886d0fa071a7e1a630b044c56,2,"['qty-51', 'config_qty-52']","[20, 780]"
ba8eccd5695608984ec01da92c0eb66c9020cf6886d0fa071a7e1a630b044c56,13,['qty-50'],[10]
1dcff7bdc82ecaf7087948d660ca6ad09cb1f8f5c095d0c824696f4ddc0d8e7c,2,['qty-53'],[950]
1dcff7bdc82ecaf7087948d660ca6ad09cb1f8f5c095d0c824696f4ddc0d8e7c,13,['config_qty-54'],[10]
ac968f125888ea7e198bae2eab71c10e0f378af76c17c68cfe5f1f3048288d82,2,['qty-55'],[490]
ac968f125888ea7e198bae2eab71c10e0f378af76c17c68cfe5f1f3048288d82,13,['qty-56'],[340]
ac968f125888ea7e198bae2eab71c10e0f378af76c17c68cfe5f1f3048288d82,1,['config_qty-57'],[130]
4e65fb0202740ce16cd058ab669d3a0cd1adab8c003fdaf57e89735e27a825f8,1,['qty-58'],[710]
4e65fb0202740ce16cd058ab669d3a0cd1adab8c003fdaf57e89735e27a825f8,2,['config_qty-59'],[250]
796d606a178654399ddec8f57585bd2a22973395c370feffb316e06acc157462,2,"['qty-60', 'qty-60', 'qty-60', 'qty-60', 'qty-60']","[40, 20, 310, 280, 10]"
796d606a178654399ddec8f57585bd2a22973395c370feffb316e06acc157462,1,"['qty-59', 'qty-59', 'qty-59', 'qty-59', 'qty-61']","[10, 90, 120, 30, 40]"
796d606a178654399ddec8f57585bd2a22973395c370feffb316e06acc157462,0,['config_qty-62'],[10]
03d8cc91b2de8891585c67595081bb510286ad4d6ed283c6d15bb22be9585b7b,1,"['qty-63', 'qty-63', 'qty-63', 'qty-63']","[40, 130, 10, 140]"
03d8cc91b2de8891585c67595081bb510286ad4d6ed283c6d15bb22be9585b7b,2,"['qty-62', 'qty-62', 'qty-62', 'qty-64']","[280, 250, 20, 80]"
03d8cc91b2de8891585c67595081bb510286ad4d6ed283c6d15bb22be9585b7b,13,['config_qty-65'],[10]
a7975ae34adea1469ed43caa7c3bb3aa9e9b97060bf4ff347ed190adcdba5714,2,"['qty-66', 'qty-66', 'qty-66', 'qty-66']","[140, 10, 280, 10]"
a7975ae34adea1469ed43caa7c3bb3aa9e9b97060bf4ff347ed190adcdba5714,1,"['qty-65', 'qty-65', 'qty-65', 'qty-67']","[10, 160, 10, 40]"
a7975ae34adea1469ed43caa7c3bb3aa9e9b97060bf4ff347ed190adcdba5714,12,['qty-68'],[290]
a7975ae34adea1469ed43caa7c3bb3aa9e9b97060bf4ff347ed190adcdba5714,13,['config_qty-69'],[10]
ee504f68ebaaa8bbb959a72887a1c3f5ff535c1076d663d44479e8aeeb7e8ec9,13,"['qty-70', 'qty-71']","[10, 410]"
ee504f68ebaaa8bbb959a72887a1c3f5ff535c1076d663d44479e8aeeb7e8ec9,12,['qty-69'],[160]
ee504f68ebaaa8bbb959a72887a1c3f5ff535c1076d663d44479e8aeeb7e8ec9,2,['qty-72'],[10]
ee504f68ebaaa8bbb959a72887a1c3f5ff535c1076d663d44479e8aeeb7e8ec9,1,['qty-73'],[360]
ee504f68ebaaa8bbb959a72887a1c3f5ff535c1076d663d44479e8aeeb7e8ec9,0,['config_qty-74'],[10]
6e12473db9cf857ce7a8144a8c4e279fba652d81926eac96d119d2c6c26f00ea,1,"['qty-75', 'qty-75', 'qty-75', 'qty-75', 'qty-75', 'qty-75', 'qty-75', 'qty-75']","[50, 20, 20, 320, 10, 20, 340, 40]"
6e12473db9cf857ce7a8144a8c4e279fba652d81926eac96d119d2c6c26f00ea,2,"['qty-74', 'qty-74', 'qty-74', 'qty-74', 'qty-74', 'qty-74', 'qty-74', 'config_qty-76']","[20, 20, 10, 20, 10, 10, 40, 10]"
359be14b5d1247d35fd8ed69bcd413de866ecb2b72b0f8d18cf348c52f0c6681,0,['qty-77'],[10]
359be14b5d1247d35fd8ed69bcd413de866ecb2b72b0f8d18cf348c52f0c6681,1,"['qty-78', 'qty-78', 'qty-78', 'qty-78', 'config_qty-79']","[300, 10, 360, 20, 200]"
359be14b5d1247d35fd8ed69bcd413de866ecb2b72b0f8d18cf348c52f0c6681,2,"['qty-77', 'qty-77', 'qty-77', 'qty-77']","[20, 20, 10, 10]"
d1c53d8b8aa994e584aa6f64f970e8381f7270ce51b956060f2b6527d5fe2124,1,"['qty-80', 'qty-81', 'qty-81']","[20, 110, 320]"
d1c53d8b8aa994e584aa6f64f970e8381f7270ce51b956060f2b6527d5fe2124,0,['qty-79'],[10]
d1c53d8b8aa994e584aa6f64f970e8381f7270ce51b956060f2b6527d5fe2124,2,"['qty-79', 'qty-82']","[90, 200]"
d1c53d8b8aa994e584aa6f64f970e8381f7270ce51b956060f2b6527d5fe2124,13,"['qty-83', 'config_qty-84']","[100, 100]"
d1c53d8b8aa994e584aa6f64f970e8381f7270ce51b956060f2b6527d5fe2124,12,['qty-82'],[10]
bcdebabc524a1c33d5391d33fa76926660eaafe4f1b671c1708c5bd6a60fcf31,13,['qty-85'],[10]
bcdebabc524a1c33d5391d33fa76926660eaafe4f1b671c1708c5bd6a60fcf31,2,['qty-86'],[400]
bcdebabc524a1c33d5391d33fa76926660eaafe4f1b671c1708c5bd6a60fcf31,1,['config_qty-87'],[550]
c5a4b5e9d4cfca29f4af22257cbbd358728c772a56d05a4983a91bcc13781de3,1,['config_qty-88'],[960]
940f2a370cd45b600776afce40bdbadc8454fcfec8042d4457eb6c1e69a22a04,1,['qty-89'],[950]
940f2a370cd45b600776afce40bdbadc8454fcfec8042d4457eb6c1e69a22a04,0,['config_qty-90'],[10]
c967615e80bbc24cfe5cd37d1190eb532f6ff7e7a678115dcf3679de23ae8683,1,['qty-91'],[860]
c967615e80bbc24cfe5cd37d1190eb532f6ff7e7a678115dcf3679de23ae8683,12,['qty-92'],[90]
c967615e80bbc24cfe5cd37d1190eb532f6ff7e7a678115dcf3679de23ae8683,0,['config_qty-93'],[10]
ba0f2c6eeaa6ad9f7330f177e535060335a99f4ac67cfa754c54c768e9a8d490,12,['qty-94'],[270]
ba0f2c6eeaa6ad9f7330f177e535060335a99f4ac67cfa754c54c768e9a8d490,1,['qty-95'],[400]
ba0f2c6eeaa6ad9f7330f177e535060335a99f4ac67cfa754c54c768e9a8d490,2,['qty-96'],[280]
ba0f2c6eeaa6ad9f7330f177e535060335a99f4ac67cfa754c54c768e9a8d490,-8,['config_qty-97'],[10]
3bb1329ffb0048b0b19318ac4807487fd35c8d05e9d0f0fd9793da4f622f75f7,2,['qty-98'],[130]
3bb1329ffb0048b0b19318ac4807487fd35c8d05e9d0f0fd9793da4f622f75f7,1,['qty-99'],[820]
3bb1329ffb0048b0b19318ac4807487fd35c8d05e9d0f0fd9793da4f622f75f7,13,['config_qty-100'],[10]
e937ef5942f1ee0b5ed839b99e66fdcc7aa2bf96fa35407e710b02f9d03d07c0,1,"['qty-101', 'qty-101', 'qty-101', 'qty-101', 'qty-101']","[500, 230, 10, 10, 140]"
e937ef5942f1ee0b5ed839b99e66fdcc7aa2bf96fa35407e710b02f9d03d07c0,2,"['qty-100', 'qty-100', 'qty-100', 'qty-100', 'config_qty-102']","[10, 30, 10, 10, 10]"
f69651b10676a6295c26f11086232979b5a491f24c58b6f8260a6fb9c2181fb4,1,"['qty-103', 'qty-103', 'qty-104']","[90, 220, 280]"
f69651b10676a6295c26f11086232979b5a491f24c58b6f8260a6fb9c2181fb4,2,"['qty-102', 'qty-102']","[180, 190]"
f69651b10676a6295c26f11086232979b5a491f24c58b6f8260a6fb9c2181fb4,12,['config_qty-105'],[10]
2e517532c7ce8fc2f6810ef3250a02bc54f2656bcb93e9825c76112c56853794,1,"['qty-106', 'qty-106', 'qty-106', 'qty-106', 'qty-106', 'qty-106', 'qty-106', 'qty-106', 'qty-106', 'qty-106', 'qty-106']","[140, 10, 20, 10, 30, 10, 10, 10, 20, 10, 50]"
2e517532c7ce8fc2f6810ef3250a02bc54f2656bcb93e9825c76112c56853794,2,"['qty-105', 'qty-105', 'qty-105', 'qty-105', 'qty-105', 'qty-105', 'qty-105', 'qty-105', 'qty-105', 'qty-105', 'config_qty-107']","[30, 10, 10, 30, 20, 10, 10, 50, 40, 10, 420]"
ebdb9281b5ff3fc97bf6b1786b6186d96f3d1fd5a42c0790e12670404b7f4a2a,2,"['qty-108', 'qty-109', 'qty-109']","[240, 180, 310]"
ebdb9281b5ff3fc97bf6b1786b6186d96f3d1fd5a42c0790e12670404b7f4a2a,-30,['qty-107'],[10]
ebdb9281b5ff3fc97bf6b1786b6186d96f3d1fd5a42c0790e12670404b7f4a2a,1,"['qty-107', 'config_qty-110']","[120, 90]"
69a82443cc1b7e11c066c860540e3282138feb8ba3220d524c8413822e5e84b6,2,"['qty-111', 'qty-111', 'config_qty-112']","[320, 340, 160]"
69a82443cc1b7e11c066c860540e3282138feb8ba3220d524c8413822e5e84b6,1,"['qty-110', 'qty-110']","[70, 70]"
a491f4ac3261285871eaf0193969c4a53289239bbc0a948286e1b9869c384948,2,"['qty-113', 'qty-113', 'config_qty-114']","[180, 370, 350]"
a491f4ac3261285871eaf0193969c4a53289239bbc0a948286e1b9869c384948,1,"['qty-112', 'qty-112']","[40, 20]"
e8eee1bb0ba98ff952551f97021b220c00fb588be81264fc1287cfd2ef3b940c,-30,['qty-115'],[10]
e8eee1bb0ba98ff952551f97021b220c00fb588be81264fc1287cfd2ef3b940c,2,"['qty-116', 'qty-116', 'qty-116', 'qty-119']","[20, 50, 10, 70]"
e8eee1bb0ba98ff952551f97021b220c00fb588be81264fc1287cfd2ef3b940c,13,"['qty-115', 'qty-115', 'qty-117']","[10, 10, 350]"
e8eee1bb0ba98ff952551f97021b220c00fb588be81264fc1287cfd2ef3b940c,12,['qty-118'],[10]
e8eee1bb0ba98ff952551f97021b220c00fb588be81264fc1287cfd2ef3b940c,1,['qty-115'],[410]
